txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,status,correction_ref,notas
S000038,2026-04-18,PALETA-MINI-MINI-CREMA,7,8.0,56.0,https://github.com/OswaldoCasillas/Ventas/issues/149,tarjeta,client:c7c412f7-df76-4128-8113-5314a14ccaee#1,PALETA-MINI-MINI-CREMA,,,
S000039,2026-04-18,PALETA-CREMA-DURAZNOS-CON-CREMA,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/150,tarjeta,client:01ef080e-6ca2-49c8-88e5-bb4123a9e283#0,PALETA-CREMA-DURAZNOS-CON-CREMA,,,
S000039,2026-04-18,PALETA-CREMA-PAY-DE-LIMON,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/150,tarjeta,client:01ef080e-6ca2-49c8-88e5-bb4123a9e283#1,PALETA-CREMA-PAY-DE-LIMON,,,
S000040,2026-04-18,PALETA-AGUA-FRESA,2,25.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/151,efectivo,client:e6f082ab-aac6-48ba-84f0-806df9e41bbe#1,PALETA-AGUA-FRESA,,,
S000040,2026-04-18,PALETA-AGUA-ZAPOTE,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/151,efectivo,client:e6f082ab-aac6-48ba-84f0-806df9e41bbe#4,PALETA-AGUA-ZAPOTE,,,
S000040,2026-04-18,PALETA-CREMA-ARROZ,3,35.0,105.0,https://github.com/OswaldoCasillas/Ventas/issues/151,efectivo,client:e6f082ab-aac6-48ba-84f0-806df9e41bbe#0,PALETA-CREMA-ARROZ,,,
S000040,2026-04-18,PALETA-CREMA-FRESA-CON-CREMA,2,35.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/151,efectivo,client:e6f082ab-aac6-48ba-84f0-806df9e41bbe#5,PALETA-CREMA-FRESA-CON-CREMA,,,
S000040,2026-04-18,PALETA-CREMA-MAMEY,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/151,efectivo,client:e6f082ab-aac6-48ba-84f0-806df9e41bbe#2,PALETA-CREMA-MAMEY,,,
S000040,2026-04-18,PALETA-CREMA-PREMIUM-PISTACHE,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/151,efectivo,client:e6f082ab-aac6-48ba-84f0-806df9e41bbe#3,PALETA-CREMA-PREMIUM-PISTACHE,,,
S000041,2026-04-18,PALETA-AGUA-GUANABANA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/152,efectivo,client:4d70738c-3f54-4891-bd22-a6934560e352#0,PALETA-AGUA-GUANABANA,,,
S000041,2026-04-18,PALETA-AGUA-PREMIUM-PINA-CHAMOY,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/152,efectivo,client:4d70738c-3f54-4891-bd22-a6934560e352#2,PALETA-AGUA-PREMIUM-PINA-CHAMOY,,,
S000041,2026-04-18,PALETA-CREMA-PAY-DE-LIMON,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/152,efectivo,client:4d70738c-3f54-4891-bd22-a6934560e352#1,PALETA-CREMA-PAY-DE-LIMON,,,
